in:Index,out:↓ Highway visibility score,out:↓ Res  area visibility score,out:↑ Mountains visibility score,out:↑ Open view perc,out:↓ Privacy loss score,img_1,img_2,img_3,img_4,img_5,threeD
13,0.581964,0.407538,17.730829,31.885759,1.734779,Index13_Highway-view.png,Index13_Neighbor-view.png,Index13_Mountain view.png,Index13_Range-view.png,Index13_Privacy-view.png,Index13.json
14,100,100,100,32.339593,-999,0,Index14_Highway-view.png,Index14_Neighbor-view.png,Index14_Mountain view.png,Index14_Range-view.png,Index14_Privacy-view.png,Index14.json
15,0.573813,0.443401,16.932707,32.902973,0.792976,Index15_Highway-view.png,Index15_Neighbor-view.png,Index15_Mountain view.png,Index15_Range-view.png,Index15_Privacy-view.png,Index15.json
16,0.458073,0.440141,17.41784,31.181534,1.753335,Index16_Highway-view.png,Index16_Neighbor-view.png,Index16_Mountain view.png,Index16_Range-view.png,Index16_Privacy-view.png,Index16.json
17,0.54284,0.358633,15.43036,29.061033,2.777477,Index17_Highway-view.png,Index17_Neighbor-view.png,Index17_Mountain view.png,Index17_Range-view.png,Index17_Privacy-view.png,Index17.json
18,0.585224,0.392866,16.666667,31.596244,1.652081,Index18_Highway-view.png,Index18_Neighbor-view.png,Index18_Mountain view.png,Index18_Range-view.png,Index18_Privacy-view.png,Index18.json
19,0.627608,0.438511,17.292645,33.075117,33.075117,0,Index19_Highway-view.png,Index19_Neighbor-view.png,Index19_Mountain view.png,Index19_Range-view.png,Index19_Privacy-view.png,Index19.json
20,0.581964,0.392866,16.494523,31.43975,1.603967,Index20_Highway-view.png,Index20_Neighbor-view.png,Index20_Mountain view.png,Index20_Range-view.png,Index20_Privacy-view.png,Index20.json
21,0.598266,0.4271,16.212833,30.915493,1.77682,Index21_Highway-view.png,Index21_Neighbor-view.png,Index21_Mountain view.png,Index21_Range-view.png,Index21_Privacy-view.png,Index21.json
22,0.557512,0.423839,17.449139,32.56651,0.855523,Index22_Highway-view.png,Index22_Neighbor-view.png,Index22_Mountain view.png,Index22_Range-view.png,Index22_Privacy-view.png,Index22.json
23,0.586854,0.366784,16.150235,30.203443,2.504704,Index23_Highway-view.png,Index23_Neighbor-view.png,Index23_Mountain view.png,Index23_Range-view.png,Index23_Privacy-view.png,Index23.json
24,0.634129,0.422209,17.71518,32.089202,1.553092,Index24_Highway-view.png,Index24_Neighbor-view.png,Index24_Mountain view.png,Index24_Range-view.png,Index24_Privacy-view.png,Index24.json
25,0.596635,0.417319,16.85446,33.028169,1.014453,Index25_Highway-view.png,Index25_Neighbor-view.png,Index25_Mountain view.png,Index25_Range-view.png,Index25_Privacy-view.png,Index25.json
26,0.546101,0.423839,17.621283,31.627543,1.426168,Index26_Highway-view.png,Index26_Neighbor-view.png,Index26_Mountain view.png,Index26_Range-view.png,Index26_Privacy-view.png,Index26.json
27,0.578704,0.396127,16.682316,30.649452,1.835802,Index27_Highway-view.png,Index27_Neighbor-view.png,Index27_Mountain view.png,Index27_Range-view.png,Index27_Privacy-view.png,Index27.json
28,0.570553,0.366784,16.651017,30.219092,2.35856,Index28_Highway-view.png,Index28_Neighbor-view.png,Index28_Mountain view.png,Index28_Range-view.png,Index28_Privacy-view.png,Index28.json
29,0.53795,0.422209,17.887324,32.128326,1.171397,Index29_Highway-view.png,Index29_Neighbor-view.png,Index29_Mountain view.png,Index29_Range-view.png,Index29_Privacy-view.png,Index29.json
30,0.480895,0.440141,16.306729,30.336463,1.878175,Index30_Highway-view.png,Index30_Neighbor-view.png,Index30_Mountain view.png,Index30_Range-view.png,Index30_Privacy-view.png,Index30.json
31,0.531429,0.42873,17.699531,31.862285,1.973697,Index31_Highway-view.png,Index31_Neighbor-view.png,Index31_Mountain view.png,Index31_Range-view.png,Index31_Privacy-view.png,Index31.json
32,0.586854,0.423839,16.29108,31.611894,1.221248,Index32_Highway-view.png,Index32_Neighbor-view.png,Index32_Mountain view.png,Index32_Range-view.png,Index32_Privacy-view.png,Index32.json
33,0.523279,0.376565,16.682316,29.452269,2.194401,Index33_Highway-view.png,Index33_Neighbor-view.png,Index33_Mountain view.png,Index33_Range-view.png,Index33_Privacy-view.png,Index33.json
34,0.570553,0.412428,17.809077,31.322379,1.637245,Index34_Highway-view.png,Index34_Neighbor-view.png,Index34_Mountain view.png,Index34_Range-view.png,Index34_Privacy-view.png,Index34.json
35,0.590115,0.384716,17.1518,30.774648,2.601338,Index35_Highway-view.png,Index35_Neighbor-view.png,Index35_Mountain view.png,Index35_Range-view.png,Index35_Privacy-view.png,Index35.json
36,0.575443,0.352113,15.320814,30.352113,2.05153,Index36_Highway-view.png,Index36_Neighbor-view.png,Index36_Mountain view.png,Index36_Range-view.png,Index36_Privacy-view.png,Index36.json
37,0.544471,0.415689,16.087637,31.103286,1.916297,Index37_Highway-view.png,Index37_Neighbor-view.png,Index37_Mountain view.png,Index37_Range-view.png,Index37_Privacy-view.png,Index37.json
38,0.516758,0.401017,17.010955,30.078247,1.850078,Index38_Highway-view.png,Index38_Neighbor-view.png,Index38_Mountain view.png,Index38_Range-view.png,Index38_Privacy-view.png,Index38.json
39,0.533059,0.366784,16.979656,30.492958,2.557494,Index39_Highway-view.png,Index39_Neighbor-view.png,Index39_Mountain view.png,Index39_Range-view.png,Index39_Privacy-view.png,Index39.json
40,0.601526,0.407538,16.635368,31.862285,1.458806,Index40_Highway-view.png,Index40_Neighbor-view.png,Index40_Mountain view.png,Index40_Range-view.png,Index40_Privacy-view.png,Index40.json
